epoch,accuracy,loss,val_accuracy,val_loss
0,0.5503131151199341,1.6325269937515259,0.7448979616165161,0.9887988567352295
1,0.8139646649360657,0.5996126532554626,0.8897958993911743,0.3580475151538849
2,0.8726232051849365,0.4060212969779968,0.9063775539398193,0.285114049911499
3,0.8967950344085693,0.3278123736381531,0.925765335559845,0.22511209547519684
4,0.9132024049758911,0.2760959267616272,0.9474489688873291,0.16594953835010529
